name,date_range,hyperlink,page_text
Max Adler, 1873-1937,https://www.hetwebsite.net/het/profiles/adler.htm," Viennese lawyer and one of the leaders of  the ""Austro-Marxist"" school of the early 20th Century.   With Rudolf Hilferding, Max Adler founded the Marx-Studien in 1904 and was later associated with the left wing of the Austrian Social Democratic Party.   Attempted to re-conceive of Marxian theory as a sociological system, particularly in light of ""neo-Kantian"" theories in the philosophy of science.      Major Works of Max Adler     Resources on Max Adler All rights reserved, Gonçalo L. Fonseca"
Georg Adler, 1863-1908.,https://www.hetwebsite.net/het/profiles/georgadler.htm,"German Historical School economist at Basel, Freiburg and Kiel, writer on socialism.      Major Works of Georg Adler     Resources on Georg Adler   All rights reserved, Gonçalo L. Fonseca"
Albert Aftalion, 1874-1956.,https://www.hetwebsite.net/het/profiles/aftalion.htm," French Historicist and pioneering business cycle theorist.         Major Works of Albert Aftalion     Resources on Albert Aftalion All rights reserved, Gonçalo L. Fonseca"
George Akerlof, 1940-,https://www.hetwebsite.net/het/profiles/akerlof.htm," George A. Akerlof was one of the pioneers of asymmetric information, famed for his 1970 article on ""lemons"" demonstrating the unraveling of a market due to information problems (specifically, adverse selection).  He has also been a major contributor to New Keynesian macroeconomics, introducing modifications like price and wage stickiness as optimal responses to fluctuations, but detrimental to overall adjustment..  George Akerlof won the Nobel Memorial Prize in 2001, alongside fellow information pioneers Michael Spence and Joseph Stiglitz.   Akerlof is married to Janet Yellen, a frequent co-writer and currently (since 2014) chair of the Federal Reserve Board of Governors.      Major Works of George A. Akerlof     Resources on  George Akerlof   All rights reserved, Gonçalo L. Fonseca"
Gustav Åkerman, 1888-1959,https://www.hetwebsite.net/het/profiles/akerman_g.htm," Swedish economist, Gustav Åkerman was the older brother of Johan Henryk Åkerman.  A student of Knut Wicksell at Lund, Gustav Åkerman proposed in his 1923-4 dissertation to integrate fixed and durable capital into the circulating capital model of Wicksell - which he claimed would eliminate those troublesome ""Wicksell Effects"". His work prompted Wicksell to reconsider his own theory of capital, attempting a reformulation in a famous ""Note on Dr. Åkerman"" (1923). Gustav Åkerman went on to teach at the University of Gothenburg (Göteborg), where he was professor of economics and sociology from 1931 (succeeding Gustav Steffen).  He continued his work on the theory of capital (1931), thereafter turning to history.      Major Works of Gustav Åkerman   Resources on Gustav Åkerman All rights reserved, Gonçalo L. Fonseca"
Johan Henryk Åkerman, 1896-1982,https://www.hetwebsite.net/het/profiles/akerman.htm,"  Swedish economist, younger brother of Gustav Åkerman. The younger Åkerman was arguably more original than his elder brother.  Johan Henryk Åkerman's dissertation at Lund,  Rhythmics of Economic Life (1928), announced his life-long interest in business cycle theory (e.g. 1931).  There was, in his view, a strict synchronization between short and long cycles.  Åkerman's attempts to formulate a theory would involve incorporating a prescient concern with an endogenous business cycle theory reliant in part upon seasonal cycles which, he argued, were correlated with and could propagate large and longer economic swings.  This vision of synchronized cycles was severely critized by Ragnar Frisch (1931).  Although largely ignored outside Sweden, Åkerman's ""causal association"" (1931) theory is a precedent to very recent work on seasonal cycles.  Åkerman was also the first to identify the ""political business cycle"" (1947), a result for which he is better known in the Anglo-Saxon world. Åkerman also pursued more expansive work.  In his two monumental volumes on economic theory (1939, 1944), Åkerman attempted a sweeping theory of historical and structural change and how that, in turn, determines specific economic phenomena. This made him quite critical of the pure theory and the cavalier aggregation methods of the Stockholm School (see Åkerman (1953) and the subsequent debate in the Ekonomisk Tidskrift). Åkerman's works include a concern with methodology, epistemology and institutional factors that is akin to, but not superseded, by Myrdal. His work, much of it published in Swedish, German or French and often littered with his unique jargon, has had a far greater impact on the Continent than the English-speaking world. Johan Henryk Åkerman became a lecturer at the University of Lund in 1932. A decade later, in 1943, Åkerman succeeded to Wicksell's old professorial chair at Lund (vacated when Erik Lindahl moved to Uppsala).  Åkerman and his approach are sometimes characterized as the ""Lund School"" (as distinct from the ""Stockholm School"").   His older brother, Gustav Åkerman, was holding the chair in Gothenburg.      Major Works of Johan Henryk Åkerman   Resources on Johan Henryk Åkerman All rights reserved, Gonçalo L. Fonseca"
Albertus Magnus, c.1200-1280.,https://www.hetwebsite.net/het/profiles/magnus.htm," St. Albertus Magnus, or ""Albert the Great"", was a German Scholastic philosopher, known as Doctor Universalis. A native of Swabia, Albertus Magnus studied at the University of Padua, and subsequently joined the Dominican Order of Preachers in 1223.  He proceeded to teach theology at a variety of cathedral and monastery schools in Germany, notably Cologne.  It was during his stay at Cologne that he met the young Thomas Aquinas, who would remain a lifelong disciple. In 1245, Albert Magnus  (accompanied by Aquinas) moved to Paris, for his doctorate, and, in 1248, returned to the newly-founded Studium in Cologne, to take up office of Regent, with Aquinas as his lieutenant.  In 1250, Albert, assisted by Aquinas grew, drafted a curriculum of study for Dominican Regulars and in 1254, participated in the defense of the Regulars in the great conflict of the 1250s, and was elected provincial general of the Dominican order for Germany in 1254.  He would go on later become (briefly) Bishop of Regensburg. Albertus Magnus (the ""Universal Doctor"") was one of the first European commentators on Aristotle (coming on the heels of Grosseteste's translation), including his economics.  His pupil, Thomas Aquinas, would carry on that legacy.      Major Works of Albertus Magnus   Resources on Albertus Magnus All rights reserved, Gonçalo L. Fonseca"
Claude-Camille-François Comte d'Albon, 1753-1789,https://www.hetwebsite.net/het/profiles/albon.htm,"French Enlightenment litterateur from one of the more distinguished families of Lyons and Count of Albon. Historically, the ""Counts of Albon"" was the French title for the feudatory  ""King of Yvetot"", an ancient, miniscule and ostensibly independent Norse principality in Normandy (of which he was ""King Camillus III""). Well received in the court of Louis XV at an early age, Comte d'Albon broke into print barely out of school.  The young Comte d'Albon was a disciple of the Physiocrats, writing and delivering a decent eulogy to Quesnay after his death.  D'Albon's three volume Discours are essentially curious observations on various countries that he had traveled (England, Holland, Italy, etc.), while generally well-received, have also been criticized for revealing a certain immaturity.  His discourse on Augustus compares France unfavorably to ancient Rome.      Major Works of Comte d'Albon   Resources on Count d'Albon All rights reserved, Gonçalo L. Fonseca"
Armen A. Alchian, 1914-2013,https://www.hetwebsite.net/het/profiles/alchian.htm," Armen Alchian's output may be sparse and informal, but it has been among the most influential. Although he was at the Rand Corporation and UCLA for most of his career, Alchian's approach to economics has been closely associated with the ""Chicago School"".  The reason for this judgment rests on his virtuoso use of Neoclassical price theory in some rather complicated corners of economics, thus making him one of the founding father of New Institutional economics. In his famous 1950 contribution to the ""maximization debate"" in the theory of the firm, Alchian introduced the ""survival"" principle of evolution into analyzing market structure: perhaps not all firms consciously maximize profits; but the competitive price mechanism and the market will weed out those who do not.  Although at any time we may have non-profit-maximizers, in the long run, as the process of evolution continues, only profit-maximizers will survive. Thus, the assumption of profit-maximization in economic theory, Alchian argued, was a valid generalization even if it did not correspond to fact at any point in time. This argument is clearly more acute than the simpler one offered by Milton  Friedman, and served as an important precedent for ""evolutionary"" economics. Alchian's critique of Keynes's theory of investment (1955) is a classic in investment theory while his work on unemployment (1969) was one of the first to consider the natural rate of unemployment arising from ""job search"". His 1972 work with Harold Demsetz on property rights was a generalization of Coase's work. Finally, his famous 1964 textbook with W.R. Allen is an exemplary treatment in the Chicago vein - preserving and extending the Neoclassical market paradigm to handle all sorts of economic problems and describing purported ""market failures"" not as failures as such but as ""market outcomes"" in the face of transactions costs and information problems.      Major Works of Armen A. Alchian Resources on Armen Alchian All rights reserved, Gonçalo L. Fonseca"
Alexander of Hales, 1183-1245,https://www.hetwebsite.net/het/profiles/alexhales.htm,"English Scholastic philosopher at Paris, founder of the Franciscan theological school. Originally from Halesowen (Gloucestershire), Alexander of Hales studied and taught at the university of Paris. In the 1220s, he composed a Glossa on Peter Lombard's Sentences (f.1150),  one of the first commentaries on Lombard, and the first to make extensive use of  the works of St. Anselm of Canterbury.  After a brief sojourn in England (where he served as archdeacon of Coventry), he returned to Paris. He composed his Quaestiones disputae shortly after his return.  Around 1236, at the advanced age of fifty, he became a Franciscan friar, founded the Schola Fratrum Minorum in Paris, and become the first Franciscan to hold a professorial chair at Paris.  Alexander of Hales is best known as the putative author of the Summa universae theologica, a magisterial commentary on Peter Lombard's Sentences, commissioned by Pope Innocent IV.  How much of it was actually written by Hales is uncertain - it was still unfinished at the time of his death in 1245, and it was completed by his students (notably Jean de la Rochelle) over the next decade  It is believed the bulk of it might have been written by the latter. Alexander the Hales significance is threefold.  Firstly, for being the first to place Lombard's Sentences (f.1220s) as the centerpiece of theological training; secondly, for being the first to make extensive use of the newly-recovered works of Aristotle and his Arab commentators; thirdly, for staking out the Franciscan school of theology, giving what had been thus far a activist-oriented mendicant movement some theological heft.  In this, he was joined by his contemporary, Robert Grosseteste, who had been establishing a Franciscan school at Oxford in parallel to Hales's efforts in Paris.   The Summa nonetheless takes a highly critical stance against the arguments of Aristotle and the Aristoteleans, finding they have little to offer, and and embracing instead the usual Christian Patristic authorities  - notably St. Augustine - and their traditional arguments (e.g. that knowledge of God cannot be obtained through reason alone, but by contemplating his ""creations"" as analogies, etc.)  As such, despite its ""new"" Scholastic style and sources, the doctrines and arguments in the Summa are thoroughly traditional and show little innovation.  Although highly praised in his time - Alexander of Hales was granted the honorifics Doctor Irrefragabilis (""Irrefutable Teacher"") and Theologorum Monarcha (""King of the Theologians"") by the Pope - he has been regarded as overrated by later Scholastics and historians. Roger Bacon was quite critical, and some modern historians consider him little more than the chairman, or even just a collective pen name, of a group of anonymous Franciscan scholars in Paris (alternatively, authorship is sometimes assigned to Jean de la Rochelle) Alexander of Hales was succeeded in his Paris chair by his disciple Jean de la Rochelle.  Hales also taught St. Bonaventure up to the bachelor level.      Major Works of Alexander of Hales   Resources on Alexander of Hales All rights reserved, Gonçalo L. Fonseca"
Sir Archibald Alison, 1792-1867,https://www.hetwebsite.net/het/profiles/alison.htm," Scottish Episcopal cleric, lawyer, jurist and sheriff of Lanarkshire.   Born at Kenley, Shrospshire, the son of an Anglican vicar, Archibald Alison was educated in Edinburgh, Scotland. Pursuing a legal career, Alison was called to the Scottish bar in 1814, and was appointed sheriff of Lanarkshire in 1828. In 1851, Archibald Alison was elected Rector of Glasgow University.  Sir Archibald Alison was an Episcopalian Tory, a rather rare combination in Scotland. He was a frequent contributor to Blackwood's Edinburgh Magazine, a Tory review. Like Tories of his day, Alison embraced a traditional, paternalistic ""organic"" view of society and, from his court in Glasgow, gained a reputation as a jurist very much alarmed by the changing conditions of the poor in the industrial age.  But both his articles and his record on the bench demonstrates he was an active opponent of allowing the poor to take matters into their own hands, tolerating neither expansion of the suffrage nor trade union activity. Archibald Alison's principal claim to fame is his wildly successful History of Europe (1833-42), where his Tory proclivities seeped through in his resounding condemnation of events like the French Revolution.  In numerous articles and other publications, Alison defended the Corn Laws, the Poor Laws, slavery and other bêtes noires of the Whiggish Classicals.   Alison's principal contribution to economic debates was his 1840 treatise on population, which built upon Malthus's population doctrine with a twist.  He focused particularly on Malthus's recommendations on the enbourgeoisement of the proletariat, i.e. that if the poor could somehow be inculcated with the ""superior"" habits of the middle classes, they would curb their fertility and climb out of their vicious circle of poverty. Alison was particularly keen on deciphering the causes of ""emulation"".  He reasoned that this was easier done in the towns, where the proximity of people and the competitive spirit of commercial activity generated pressures to ""emulate"" the habits of one's betters, but also to keep an ever-higher standard of living  (in a ""keeping up with the Joneses"" sort of way, an effect he expounded upon at length).   But Alison despaired of the condition of the countryside, where people were relatively isolated from each other, there were few examples of  ""betters"" (absentee landlords were the rule) and class stratification was deep. Social mobility, Alison insisted, was made all the more impossible by the growth of large farming estates and the disappearance of small farms that might have been accessible to an ambitious rural laborer.   All this, Alison concluded, worked against the ""emulation"" principle; there was very little hope that the rural poor would ever be able to curb their fertility as their town-dwelling brethren had done.  He recommended a ""return"" to the pastoral ideal of small yeoman farmers, resident landlords, cross-class interaction and mobility, to achieve the emulatory effect of voluntary restraint and lift the rural poor.  Needless to say, Alison's ideas were more romantic yearning than policy-effective.  The novelty of Alison's work, then, is the emphasis he placed on emulatory effects not only of ""moral"" habits but also of consumption, and the need to pay attention to the conditions for social mobility in different contexts. In both these regards, Alison is much quoted by later population theorists.   Alison was a member of the Royal Societies of both Edinburgh and London.      Major Works of Archibald Alison Resources on Archibald Alison All rights reserved, Gonçalo L. Fonseca"
